district,window_start,as_of,days,rain_mm,normal_mm,rain_pct_normal,max_3day_rain_mm,soil_wetness_before,elevation_m,prior_flood_rate
Kasaragod,2026-08-23,2026-09-21,30,219.2,411.9,53.2,49.4,0.953,119.4,0.7
Kannur,2026-08-23,2026-09-21,30,179.2,321.2,55.8,40.2,0.947,132.4,0.8
Wayanad,2026-08-23,2026-09-21,30,160.8,194.4,82.7,29.5,0.747,814.8,1.0
Kozhikode,2026-08-23,2026-09-21,30,152.8,275.0,55.6,47.1,0.959,202.0,0.8
Malappuram,2026-08-23,2026-09-21,30,177.3,202.0,87.8,41.3,0.861,183.4,0.7
Palakkad,2026-08-23,2026-09-21,30,177.3,202.0,87.8,41.3,0.861,364.5,0.6
Thrissur,2026-08-23,2026-09-21,30,209.2,234.9,89.0,54.5,0.94,147.0,0.9
Ernakulam,2026-08-23,2026-09-21,30,230.7,282.5,81.7,63.3,0.956,176.5,0.6
Idukki,2026-08-23,2026-09-21,30,200.8,213.7,94.0,42.3,0.89,991.2,0.9
Kottayam,2026-08-23,2026-09-21,30,178.4,237.0,75.3,37.5,0.89,62.9,0.9
Alappuzha,2026-08-23,2026-09-21,30,189.1,289.3,65.4,57.7,0.963,8.9,0.8
Pathanamthitta,2026-08-23,2026-09-21,30,178.4,237.0,75.3,37.5,0.89,381.3,0.9
Kollam,2026-08-23,2026-09-21,30,156.1,210.9,74.0,37.4,0.807,132.0,0.6
Thiruvananthapuram,2026-08-23,2026-09-21,30,154.2,180.4,85.5,35.5,0.6,166.7,0.9
