name,state,district,population,households,lat,lon,power_lat,power_lon,area_km2,elevation_m,elevation_median_m,low_lying_pct,elevation_samples,ifi_seasons,ifi_flood_seasons,ifi_deadly_seasons,ifi_first_year
Nicobars,Andaman and Nicobar Islands,Nicobars,36842.0,15958.0,6.9972,93.8109,7.0,93.75,1651,104.9,81.0,0.0,25,57,0,0,1967
North  & Middle Andaman,Andaman and Nicobar Islands,North  & Middle Andaman,105597.0,40185.0,12.1869,92.8111,12.0,92.5,3411,59.4,48.0,23.3,30,57,1,0,1967
South Andaman,Andaman and Nicobar Islands,South Andaman,238142.0,85532.0,10.701,92.4881,10.5,92.5,2427,61.6,53.0,8.3,24,57,1,1,1967
Anantapur,Andhra Pradesh,Anantapur,4081148.0,1244428.0,14.458,77.5101,14.5,77.5,19385,480.2,467.0,0.0,25,57,13,11,1967
Chittoor,Andhra Pradesh,Chittoor,4174064.0,1303870.0,13.337,78.9215,13.5,78.75,15276,456.1,482.0,0.0,27,57,15,13,1967
East Godavari,Andhra Pradesh,East Godavari,5154296.0,1605841.0,17.1682,82.0684,17.0,81.875,10712,185.2,43.0,23.1,26,57,25,20,1967
Guntur,Andhra Pradesh,Guntur,4887813.0,1582990.0,16.2681,80.1893,16.5,80.0,11594,74.6,66.0,16.0,25,57,24,20,1967
Kadapa(YSR),Andhra Pradesh,Kadapa(YSR),2882469.0,884093.0,14.4812,78.6596,14.5,78.75,15104,320.6,245.0,0.0,27,57,17,15,1967
Krishna,Andhra Pradesh,Krishna,4517398.0,1476334.0,16.4252,81.0665,16.5,81.25,8692,43.9,31.0,35.7,28,57,26,20,1967
Kurnool,Andhra Pradesh,Kurnool,4053463.0,1090835.0,15.5558,77.9049,15.5,78.125,17893,350.2,362.0,0.0,25,57,24,20,1967
Prakasam,Andhra Pradesh,Prakasam,3397448.0,1087575.0,15.6569,79.5203,15.5,79.375,17836,181.3,119.0,4.3,23,57,22,19,1967
Sri Potti Sriramulu Nellore,Andhra Pradesh,Sri Potti Sriramulu Nellore,2963557.0,953513.0,14.2949,79.7808,14.5,80.0,13318,70.4,43.5,20.8,24,57,20,16,1967
Srikakulam,Andhra Pradesh,Srikakulam,2703114.0,902436.0,18.6303,83.9748,18.5,83.75,5941,62.1,44.0,8.0,25,57,19,12,1967
Visakhapatnam,Andhra Pradesh,Visakhapatnam,4290589.0,1379340.0,17.9009,82.5664,18.0,82.5,11421,528.2,313.0,0.0,25,57,17,12,1967
Vizianagaram,Andhra Pradesh,Vizianagaram,2344474.0,749514.0,18.4953,83.3118,18.5,83.125,6190,201.4,141.5,0.0,24,57,12,10,1967
West Godavari,Andhra Pradesh,West Godavari,3936966.0,1255628.0,16.9114,81.368,17.0,81.25,7912,74.3,25.0,16.7,24,57,24,23,1967
