uei,start,end,state,location,deaths
UEI-IMD-FL-1967-0001,1967-07-02,1967-07-08,Assam,,
UEI-IMD-FL-1967-0002,1967-07-22,1967-07-28,"Maharashtra, Gujarat",,
UEI-IMD-FL-1967-0003,1967-08-01,1967-08-30,Uttar Pradesh,,
UEI-IMD-FL-1967-0004,1967-09-08,1967-09-09,"Odisha, Bihar, Uttar Pradesh, Madhya Pradesh, Rajasthan, Haryana",,
UEI-IMD-FL-1968-0002,1968-06-08,1968-06-12,West Bengal,,
UEI-IMD-FL-1968-0001,1968-06-22,1968-06-28,Assam,,
UEI-IMD-FL-1968-0003,1968-07-01,1968-07-30,"Kerala, Rajasthan, Haryana, Uttar Pradesh, Bihar",,
UEI-IMD-FL-1968-0004,1968-07-18,1968-07-18,Uttar Pradesh,,
UEI-IMD-FL-1968-0005,1968-08-01,1968-08-08,Gujarat,,
UEI-IMD-FL-1968-0006,1968-10-01,1968-10-08,West Bengal,,
UEI-IMD-FL-1968-0007,1968-10-03,1968-10-05,Sikkim,,
UEI-IMD-FL-1968-0008,1968-11-06,1968-11-06,Andhra Pradesh,,
UEI-IMD-FL-1969-0001,1969-06-08,1969-07-13,Assam,,
UEI-IMD-FL-1969-0002,1969-07-15,1969-07-22,"Karnataka, Kerala",,
UEI-IMD-FL-1969-0003,1969-07-22,1969-07-29,"Odisha, Rajasthan",,
UEI-IMD-FL-1969-0005,1969-08-01,1969-08-22,"Jammu and Kashmir, Delhi, Punjab",,
UEI-IMD-FL-1969-0007,1969-08-01,1969-09-14,Gujarat,,
UEI-IMD-FL-1969-0004,1969-08-02,1969-08-03,"Himachal Pradesh, Uttar Pradesh",,
UEI-IMD-FL-1969-0006,1969-09-01,1969-09-15,Maharashtra,,
UEI-IMD-FL-1969-0008,1969-09-15,1969-09-22,"Maharashtra, Telangana",,
UEI-IMD-FL-1969-0010,1969-10-15,1969-10-29,Tamil Nadu,,
UEI-IMD-FL-1969-0009,1969-10-22,1969-10-23,Madras,,
UEI-IMD-FL-1970-0001,1970-06-15,1970-06-22,Assam,,
UEI-IMD-FL-1970-0002,1970-07-15,1970-07-29,Uttarakhand,,
UEI-IMD-FL-1970-0005,1970-08-08,1970-08-14,Odisha,,
UEI-IMD-FL-1970-0004,1970-08-22,1970-08-29,"Andhra Pradesh, Madhya Pradesh",,
UEI-IMD-FL-1970-0006,1970-09-01,1970-09-14,Gujarat,,
UEI-IMD-FL-1970-0007,1970-09-01,1970-09-14,West Bengal,,80.0
UEI-IMD-FL-1970-0009,1970-09-01,1970-09-10,Maharashtra,,
UEI-IMD-FL-1970-0010,1970-09-11,1970-09-20,Kerala,,
UEI-IMD-FL-1970-0011,1970-09-22,1970-09-22,Telangana,,100.0
UEI-IMD-FL-1970-0008,1970-09-27,1970-09-30,Uttar Pradesh,,223.0
UEI-IMD-FL-1970-0012,1970-11-21,1970-11-27,Tamil Nadu,,
UEI-IMD-FL-1971-0013,1971-01-01,1971-12-31,"Uttar Pradesh, Bihar, Odisha, West Bengal",,1025.0
UEI-IMD-FL-1971-0001,1971-02-21,1971-02-27,Jammu and Kashmir,,
UEI-IMD-FL-1971-0002,1971-05-08,1971-05-14,Kerala,,
UEI-IMD-FL-1971-0003,1971-06-01,1971-06-30,"Uttar Pradesh , Assam , Bihar , West Bengal, Kerala",,
UEI-IMD-FL-1971-0004,1971-06-23,1971-06-23,Maharashtra,,
UEI-IMD-FL-1971-0005,1971-07-01,1971-07-31,"Assam, Odisha, West Bengal, Bihar",,
UEI-IMD-FL-1971-0006,1971-08-01,1971-08-14,"Uttar Pradesh, Bihar,  Assam",,
UEI-IMD-FL-1971-0007,1971-08-01,1971-08-14,"Madhya Pradesh, Punjab, Haryana, West Bengal",,
UEI-IMD-FL-1971-0008,1971-08-15,1971-08-28,"Bihar, Uttar pradesh, West Bengal, Himachal Pradesh",,
UEI-IMD-FL-1971-0009,1971-08-22,1971-08-31,Parts of Maharashtra,,
UEI-IMD-FL-1971-0010,1971-09-01,1971-09-14,"Uttar Pradesh, West Bengal, Bihar",,
UEI-IMD-FL-1971-0011,1971-09-22,1971-09-28,"Bihar, Maharashtra",,
UEI-IMD-FL-1971-0012,1971-10-08,1971-10-14,Assam,,
UEI-IMD-FL-1972-0001,1972-05-08,1972-05-21,Kerala,,
UEI-IMD-FL-1972-0002,1972-05-15,1972-05-21,Jammu and Kashmir,,
UEI-IMD-FL-1972-0003,1972-06-01,1972-06-07,Karnataka,,
UEI-IMD-FL-1972-0004,1972-06-15,1972-06-28,Maharashtra,,8.0
UEI-IMD-FL-1972-0005,1972-06-15,1972-06-21,Assam,,50.0
UEI-IMD-FL-1972-0006,1972-07-01,1972-07-14,Kerala,,
UEI-IMD-FL-1972-0007,1972-07-01,1972-07-07,Delhi,,
UEI-IMD-FL-1972-0008,1972-07-08,1972-07-21,"Odisha, Bihar, Assam, West Bengal",,90.0
UEI-IMD-FL-1972-0009,1972-08-01,1972-08-14,Jammu and Kashmir,,
UEI-IMD-FL-1972-0010,1972-08-15,1972-08-21,"Uttar Pradesh, East Rajasthan",,
UEI-IMD-FL-1973-0001,1973-03-08,1973-03-14,Jammu and Kashmir,,
UEI-IMD-FL-1973-0003,1973-04-01,1973-04-07,Maharashtra,,
UEI-IMD-FL-1973-0002,1973-05-01,1973-05-14,Assam,,
UEI-IMD-FL-1973-0004,1973-06-01,1973-06-07,West Bengal,,
UEI-IMD-FL-1973-0005,1973-06-08,1973-06-21,Assam,,3.0
UEI-IMD-FL-1973-0006,1973-06-22,1973-06-28,Assam,,
UEI-IMD-FL-1973-0007,1973-07-01,1973-07-14,"Rajasthan, Bihar, Madhya Pradesh, Gujarat, Maharashtra, Uttar Pradesh",,90.0
UEI-IMD-FL-1973-0008,1973-07-15,1973-07-21,Madhya Pradesh,,
UEI-IMD-FL-1973-0009,1973-07-22,1973-07-28,"Himachal Pradesh, Uttar Pradesh, Bihar,  West Bengal",,144.0
UEI-IMD-FL-1973-0010,1973-08-08,1973-08-14,"Jammu and Kashmir, Punjab, Uttar Pradesh, Assam,  Arunachal Pradesh",,268.0
UEI-IMD-FL-1973-0011,1973-08-15,1973-08-31,Rajasthan,,13.0
