uei,state,start,end,year,month,duration_days,deaths,district
UEI-IMD-FL-1967-0004,Odisha,1967-09-08,1967-09-09,1967,9,2.0,,Bhadrak
UEI-IMD-FL-1967-0004,Odisha,1967-09-08,1967-09-09,1967,9,2.0,,Dhenkanal
UEI-IMD-FL-1967-0004,Odisha,1967-09-08,1967-09-09,1967,9,2.0,,Jajapur
UEI-IMD-FL-1967-0004,Odisha,1967-09-08,1967-09-09,1967,9,2.0,,Subarnapur
UEI-IMD-FL-1967-0004,Odisha,1967-09-08,1967-09-09,1967,9,2.0,,Nuapada
UEI-IMD-FL-1967-0004,Odisha,1967-09-08,1967-09-09,1967,9,2.0,,Balangir
UEI-IMD-FL-1967-0004,Odisha,1967-09-08,1967-09-09,1967,9,2.0,,Baudh
UEI-IMD-FL-1967-0004,Odisha,1967-09-08,1967-09-09,1967,9,2.0,,Cuttack
UEI-IMD-FL-1967-0004,Odisha,1967-09-08,1967-09-09,1967,9,2.0,,Kandhamal
UEI-IMD-FL-1967-0004,Odisha,1967-09-08,1967-09-09,1967,9,2.0,,Nayagarh
UEI-IMD-FL-1967-0004,Odisha,1967-09-08,1967-09-09,1967,9,2.0,,Khordha
UEI-IMD-FL-1967-0004,Odisha,1967-09-08,1967-09-09,1967,9,2.0,,Kalahandi
UEI-IMD-FL-1967-0004,Odisha,1967-09-08,1967-09-09,1967,9,2.0,,Jagatsinghapur
UEI-IMD-FL-1967-0004,Odisha,1967-09-08,1967-09-09,1967,9,2.0,,Puri
UEI-IMD-FL-1967-0004,Maharashtra,1967-09-08,1967-09-09,1967,9,2.0,,Nagpur
UEI-IMD-FL-1967-0004,Odisha,1967-09-08,1967-09-09,1967,9,2.0,,Rayagada
UEI-IMD-FL-1967-0004,Odisha,1967-09-08,1967-09-09,1967,9,2.0,,Koraput
UEI-IMD-FL-1967-0004,Odisha,1967-09-08,1967-09-09,1967,9,2.0,,Malkangiri
UEI-IMD-FL-1967-0004,Odisha,1967-09-08,1967-09-09,1967,9,2.0,,Anugul
UEI-IMD-FL-1967-0004,Odisha,1967-09-08,1967-09-09,1967,9,2.0,,Kendrapara
UEI-IMD-FL-1967-0004,Odisha,1967-09-08,1967-09-09,1967,9,2.0,,Ganjam
UEI-IMD-FL-1967-0004,Odisha,1967-09-08,1967-09-09,1967,9,2.0,,Gajapati
UEI-IMD-FL-1967-0004,Odisha,1967-09-08,1967-09-09,1967,9,2.0,,Mayurbhanj
UEI-IMD-FL-1967-0004,Odisha,1967-09-08,1967-09-09,1967,9,2.0,,Sundargarh
UEI-IMD-FL-1967-0004,Odisha,1967-09-08,1967-09-09,1967,9,2.0,,Kendujhar
UEI-IMD-FL-1967-0004,Odisha,1967-09-08,1967-09-09,1967,9,2.0,,Baleshwar
UEI-IMD-FL-1967-0004,Odisha,1967-09-08,1967-09-09,1967,9,2.0,,Jharsuguda
UEI-IMD-FL-1967-0004,Odisha,1967-09-08,1967-09-09,1967,9,2.0,,Bargarh
UEI-IMD-FL-1967-0004,Odisha,1967-09-08,1967-09-09,1967,9,2.0,,Debagarh
UEI-IMD-FL-1967-0004,Odisha,1967-09-08,1967-09-09,1967,9,2.0,,Sambalpur
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Pashchim Champaran
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Purba Champaran
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Sitamarhi
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Sheohar
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Gopalganj
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Samastipur
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Katihar
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Khagaria
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Bhojpur
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Buxar
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Darbhanga
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Saharsa
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Kaimur (Bhabua)
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Rohtas
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Jamui
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Banka
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Nawada
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Gaya
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Munger
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Vaishali
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Begusarai
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Bhagalpur
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Lakhisarai
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Sheikhpura
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Arwal
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Jehanabad
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Nalanda
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Patna
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Saran
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Siwan
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Muzaffarpur
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Madhepura
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Araria
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Supaul
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Madhubani
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Purnia
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Kishanganj
UEI-IMD-FL-1967-0004,Bihar,1967-09-08,1967-09-09,1967,9,2.0,,Aurangabad (Bihar)
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Jyotiba Phule Nagar
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Hapur
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Bareilly
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Pilibhit
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Bulandshahr
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Gautam Buddha Nagar
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Kheri
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Budaun
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Bahraich
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Shahjahanpur
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Aligarh
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Kanshiram Nagar
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Mathura
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Shrawasti
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Sitapur
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Mahamaya Nagar
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Etah
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Hardoi
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Farrukhabad
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Firozabad
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Siddharthnagar
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Mainpuri
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Mahrajganj
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Agra
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Gonda
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Bara Banki
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Kushinagar
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Kannauj
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Lucknow
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Basti
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Gorakhpur
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Sant Kabir Nagar
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Unnao
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Etawah
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Kanpur Nagar
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Auraiya
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Faizabad
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Kanpur Dehat
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Deoria
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Sultanpur
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Ambedkar Nagar
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Rae Bareli
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Jalaun
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Azamgarh
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Mau
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Fatehpur
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Ballia
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Jaunpur
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Jhansi
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Banda
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Ghazipur
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Kaushambi
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Allahabad
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Varanasi
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Chitrakoot
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Chandauli
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Sant Ravidas Nagar (Bhadohi)
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Mirzapur
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Lalitpur
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Sonbhadra
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Amethi
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Ghaziabad
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Sambhal
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Mahoba
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Saharanpur
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Bijnor
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Muzaffarnagar
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Baghpat
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Meerut
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Moradabad
UEI-IMD-FL-1967-0004,Uttar Pradesh,1967-09-08,1967-09-09,1967,9,2.0,,Rampur
