uei,district,start,end,year,month,duration_days,deaths
UEI-IMD-FL-1968-0003,Kasaragod,1968-01-07,1968-07-30,1968,1,30.0,
UEI-IMD-FL-1968-0003,Kannur,1968-01-07,1968-07-30,1968,1,30.0,
UEI-IMD-FL-1968-0003,Wayanad,1968-01-07,1968-07-30,1968,1,30.0,
UEI-IMD-FL-1968-0003,Kozhikode,1968-01-07,1968-07-30,1968,1,30.0,
UEI-IMD-FL-1968-0003,Malappuram,1968-01-07,1968-07-30,1968,1,30.0,
UEI-IMD-FL-1968-0003,Palakkad,1968-01-07,1968-07-30,1968,1,30.0,
UEI-IMD-FL-1968-0003,Thrissur,1968-01-07,1968-07-30,1968,1,30.0,
UEI-IMD-FL-1968-0003,Ernakulam,1968-01-07,1968-07-30,1968,1,30.0,
UEI-IMD-FL-1968-0003,Idukki,1968-01-07,1968-07-30,1968,1,30.0,
UEI-IMD-FL-1968-0003,Kottayam,1968-01-07,1968-07-30,1968,1,30.0,
UEI-IMD-FL-1968-0003,Alappuzha,1968-01-07,1968-07-30,1968,1,30.0,
UEI-IMD-FL-1968-0003,Pathanamthitta,1968-01-07,1968-07-30,1968,1,30.0,
UEI-IMD-FL-1968-0003,Kollam,1968-01-07,1968-07-30,1968,1,30.0,
UEI-IMD-FL-1968-0003,Thiruvananthapuram,1968-01-07,1968-07-30,1968,1,30.0,
UEI-IMD-FL-1969-0002,Kasaragod,1969-07-15,1969-07-22,1969,7,8.0,
UEI-IMD-FL-1969-0002,Kannur,1969-07-15,1969-07-22,1969,7,8.0,
UEI-IMD-FL-1969-0002,Wayanad,1969-07-15,1969-07-22,1969,7,8.0,
UEI-IMD-FL-1969-0002,Kozhikode,1969-07-15,1969-07-22,1969,7,8.0,
UEI-IMD-FL-1969-0002,Malappuram,1969-07-15,1969-07-22,1969,7,8.0,
UEI-IMD-FL-1969-0002,Palakkad,1969-07-15,1969-07-22,1969,7,8.0,
UEI-IMD-FL-1969-0002,Thrissur,1969-07-15,1969-07-22,1969,7,8.0,
UEI-IMD-FL-1969-0002,Ernakulam,1969-07-15,1969-07-22,1969,7,8.0,
UEI-IMD-FL-1969-0002,Idukki,1969-07-15,1969-07-22,1969,7,8.0,
UEI-IMD-FL-1969-0002,Kottayam,1969-07-15,1969-07-22,1969,7,8.0,
UEI-IMD-FL-1969-0002,Alappuzha,1969-07-15,1969-07-22,1969,7,8.0,
UEI-IMD-FL-1969-0002,Pathanamthitta,1969-07-15,1969-07-22,1969,7,8.0,
UEI-IMD-FL-1969-0002,Kollam,1969-07-15,1969-07-22,1969,7,8.0,
UEI-IMD-FL-1969-0002,Thiruvananthapuram,1969-07-15,1969-07-22,1969,7,8.0,
UEI-IMD-FL-1971-0002,Thrissur,1971-05-08,1971-05-14,1971,5,7.0,
UEI-IMD-FL-1974-0005,Kasaragod,1974-07-22,1974-07-28,1974,7,7.0,
UEI-IMD-FL-1974-0005,Kannur,1974-07-22,1974-07-28,1974,7,7.0,
UEI-IMD-FL-1974-0005,Wayanad,1974-07-22,1974-07-28,1974,7,7.0,
UEI-IMD-FL-1974-0005,Kozhikode,1974-07-22,1974-07-28,1974,7,7.0,
UEI-IMD-FL-1974-0005,Malappuram,1974-07-22,1974-07-28,1974,7,7.0,
UEI-IMD-FL-1974-0005,Palakkad,1974-07-22,1974-07-28,1974,7,7.0,
UEI-IMD-FL-1974-0005,Thrissur,1974-07-22,1974-07-28,1974,7,7.0,
UEI-IMD-FL-1974-0005,Ernakulam,1974-07-22,1974-07-28,1974,7,7.0,
UEI-IMD-FL-1974-0005,Idukki,1974-07-22,1974-07-28,1974,7,7.0,
UEI-IMD-FL-1974-0005,Kottayam,1974-07-22,1974-07-28,1974,7,7.0,
UEI-IMD-FL-1974-0005,Alappuzha,1974-07-22,1974-07-28,1974,7,7.0,
UEI-IMD-FL-1974-0005,Pathanamthitta,1974-07-22,1974-07-28,1974,7,7.0,
UEI-IMD-FL-1975-0025,Kasaragod,1975-06-15,1975-06-30,1975,6,16.0,
UEI-IMD-FL-1975-0025,Kannur,1975-06-15,1975-06-30,1975,6,16.0,
UEI-IMD-FL-1975-0025,Wayanad,1975-06-15,1975-06-30,1975,6,16.0,
UEI-IMD-FL-1975-0025,Kozhikode,1975-06-15,1975-06-30,1975,6,16.0,
UEI-IMD-FL-1975-0025,Malappuram,1975-06-15,1975-06-30,1975,6,16.0,
UEI-IMD-FL-1975-0025,Palakkad,1975-06-15,1975-06-30,1975,6,16.0,
UEI-IMD-FL-1975-0025,Thrissur,1975-06-15,1975-06-30,1975,6,16.0,
