district,year,month,days,rain_mm,normal_mm,rain_pct_normal,max_3day_rain_mm,soil_wetness_before,elevation_m,prior_flood_rate,events,event_deaths,deadly,flood
Kasaragod,1981,6,30,1263.2,861.7,146.6,242.2,0.503,119.4,0.2,0,,0,0
Kasaragod,1981,7,31,905.8,948.4,95.5,166.9,0.987,119.4,0.2,0,,0,0
Kasaragod,1981,8,31,741.3,643.0,115.3,180.6,0.99,119.4,0.2,0,,0,0
Kasaragod,1981,9,30,331.4,323.7,102.4,69.8,0.973,119.4,0.2,0,,0,0
Kasaragod,1982,6,30,830.1,861.7,96.3,200.7,0.53,119.4,0.2,0,,0,0
Kasaragod,1982,7,31,973.8,948.4,102.7,200.7,0.974,119.4,0.2,0,,0,0
Kasaragod,1982,8,31,958.8,643.0,149.1,229.6,0.989,119.4,0.2,0,,0,0
Kasaragod,1982,9,30,135.7,323.7,41.9,47.9,0.961,119.4,0.2,0,,0,0
Kasaragod,1983,6,30,423.9,861.7,49.2,172.9,0.447,119.4,0.2,0,,0,0
Kasaragod,1983,7,31,888.6,948.4,93.7,218.4,0.824,119.4,0.2,0,,0,0
Kasaragod,1983,8,31,898.4,643.0,139.7,188.2,0.987,119.4,0.2,0,,0,0
Kasaragod,1983,9,30,483.0,323.7,149.2,75.2,0.979,119.4,0.2,0,,0,0
Kasaragod,1984,6,30,872.9,861.7,101.3,245.6,0.48,119.4,0.2,0,,0,0
Kasaragod,1984,7,31,656.1,948.4,69.2,151.0,0.98,119.4,0.2,0,,0,0
Kasaragod,1984,8,31,353.4,643.0,55.0,73.4,0.971,119.4,0.2,0,,0,0
Kasaragod,1984,9,30,174.1,323.7,53.8,41.2,0.91,119.4,0.2,0,,0,0
Kasaragod,1985,6,30,908.1,861.7,105.4,202.6,0.593,119.4,0.1,0,,0,0
Kasaragod,1985,7,31,486.9,948.4,51.3,127.1,0.989,119.4,0.1,0,,0,0
Kasaragod,1985,8,31,501.0,643.0,77.9,100.3,0.976,119.4,0.1,0,,0,0
Kasaragod,1985,9,30,130.5,323.7,40.3,30.0,0.946,119.4,0.1,0,,0,0
Kasaragod,1986,6,30,728.9,861.7,84.6,196.1,0.43,119.4,0.0,0,,0,0
Kasaragod,1986,7,31,448.2,948.4,47.3,111.8,0.959,119.4,0.0,0,,0,0
Kasaragod,1986,8,31,440.9,643.0,68.6,163.5,0.946,119.4,0.0,0,,0,0
Kasaragod,1986,9,30,167.4,323.7,51.7,40.4,0.873,119.4,0.0,0,,0,0
Kasaragod,1987,6,30,737.3,861.7,85.6,120.5,0.456,119.4,0.0,0,,0,0
Kasaragod,1987,7,31,281.6,948.4,29.7,110.7,0.936,119.4,0.0,0,,0,0
Kasaragod,1987,8,31,601.2,643.0,93.5,98.9,0.856,119.4,0.0,0,,0,0
Kasaragod,1987,9,30,174.7,323.7,54.0,66.7,0.97,119.4,0.0,0,,0,0
Kasaragod,1988,6,30,868.9,861.7,100.8,181.0,0.456,119.4,0.0,0,,0,0
Kasaragod,1988,7,31,860.0,948.4,90.7,166.6,0.966,119.4,0.0,0,,0,0
Kasaragod,1988,8,31,618.1,643.0,96.1,136.1,0.981,119.4,0.0,0,,0,0
Kasaragod,1988,9,30,402.2,323.7,124.3,68.3,0.964,119.4,0.0,0,,0,0
Kasaragod,1989,6,30,903.8,861.7,104.9,214.4,0.5,119.4,0.0,2,,0,1
Kasaragod,1989,7,31,727.8,948.4,76.7,183.0,0.97,119.4,0.0,0,,0,0
Kasaragod,1989,8,31,657.0,643.0,102.2,139.2,0.986,119.4,0.0,0,,0,0
Kasaragod,1989,9,30,282.8,323.7,87.4,99.6,0.97,119.4,0.0,0,,0,0
Kasaragod,1990,6,30,598.1,861.7,69.4,158.8,0.756,119.4,0.1,0,,0,0
Kasaragod,1990,7,31,740.6,948.4,78.1,146.9,0.96,119.4,0.1,0,,0,0
Kasaragod,1990,8,31,717.5,643.0,111.6,128.1,0.97,119.4,0.1,0,,0,0
Kasaragod,1990,9,30,189.6,323.7,58.6,88.4,0.96,119.4,0.1,0,,0,0
Kasaragod,1991,6,30,1051.4,861.7,122.0,233.9,0.444,119.4,0.1,1,22.0,1,1
Kasaragod,1991,7,31,1112.0,948.4,117.2,288.1,0.98,119.4,0.1,0,,0,0
Kasaragod,1991,8,31,609.0,643.0,94.7,131.1,0.98,119.4,0.1,0,,0,0
