source,state,name,events,kind
census,Meghalaya,Jaintia Hills,,unmatched
census,Assam,Karbi Anglong,,unmatched
ifi,Andhra Pradesh,Ntr,1,no_polygon
ifi,Andhra Pradesh,Palnadu,1,no_polygon
ifi,Haryana,Charki Dadri,8,no_polygon
ifi,Jammu and Kashmir,Mirpur,13,no_polygon
ifi,Jammu and Kashmir,Muzaffarabad,13,no_polygon
ifi,Kerala,Charki Dadri,1,no_polygon
ifi,Madhya Pradesh,Charki Dadri,1,no_polygon
ifi,Odisha,Charki Dadri,1,no_polygon
ifi,Andhra Pradesh,Most of the districts,1,not_a_district
ifi,Andhra Pradesh,Parts of Andhra Pradesh,1,not_a_district
ifi,Andhra Pradesh,Some parts,1,not_a_district
ifi,Andhra Pradesh,coastal districts of Andhra Pradesh,1,not_a_district
ifi,Andhra Pradesh,several other district (Andhra Pradesh),1,not_a_district
ifi,Arunachal Pradesh,6 districts,1,not_a_district
ifi,Arunachal Pradesh,Itanagar,20,not_a_district
ifi,Arunachal Pradesh,Many parts,1,not_a_district
ifi,Arunachal Pradesh,Most Upper Lower Subansiri,1,not_a_district
ifi,Arunachal Pradesh,Pak,3,not_a_district
ifi,Assam,14 districts of Assam,1,not_a_district
ifi,Assam,21 districts of Assam,1,not_a_district
ifi,Assam,Silchar,2,not_a_district
ifi,Assam,South Assam,1,not_a_district
ifi,Chhattisgarh,Jagdalpur,1,not_a_district
ifi,Chhattisgarh,Many parts,1,not_a_district
ifi,Chhattisgarh,neighborhood,1,not_a_district
ifi,Daman and Diu,Goa,4,not_a_district
ifi,Goa,Some parts,1,not_a_district
ifi,Gujarat,Many parts,2,not_a_district
ifi,Gujarat,Most of the districts,4,not_a_district
ifi,Gujarat,Northern parts,1,not_a_district
ifi,Gujarat,Palampur,1,not_a_district
ifi,Gujarat,Some parts,1,not_a_district
ifi,Haryana,Some parts,1,not_a_district
ifi,Himachal Pradesh,Manali,6,not_a_district
ifi,Himachal Pradesh,Parts of Himachal Pradesh,4,not_a_district
ifi,Himachal Pradesh,Parts of Lahul,1,not_a_district
ifi,Himachal Pradesh,Spitti,1,not_a_district
ifi,Himachal Pradesh,adjoining areas,1,not_a_district
ifi,Jammu and Kashmir,Different parts of Jammu,1,not_a_district
ifi,Jammu and Kashmir,Hilly areas,1,not_a_district
ifi,Jammu and Kashmir,Jhelum,1,not_a_district
ifi,Jammu and Kashmir,Kashmir,2,not_a_district
ifi,Jammu and Kashmir,Kashmir Valley,4,not_a_district
ifi,Jammu and Kashmir,Kashmir valley,2,not_a_district
ifi,Jammu and Kashmir,Parts of Jammu,1,not_a_district
ifi,Jammu and Kashmir,South Kashmir,1,not_a_district
ifi,Jharkhand,East West Singhbhum,1,not_a_district
ifi,Jharkhand,Heavy rains Hazaribagh,1,not_a_district
ifi,Jharkhand,Parts of Jharkhand,1,not_a_district
ifi,Karnataka,Chikodi,1,not_a_district
ifi,Karnataka,Mudigere,1,not_a_district
ifi,Karnataka,Parts of Karnataka,2,not_a_district
ifi,Karnataka,Rural,1,not_a_district
ifi,Karnataka,Urban,1,not_a_district
ifi,Kerala,Kochi,1,not_a_district
ifi,Kerala,Southern parts,1,not_a_district
ifi,Madhya Pradesh,Chhatisgarh,1,not_a_district
ifi,Madhya Pradesh,Jagdalpur,2,not_a_district
ifi,Madhya Pradesh,Many parts,1,not_a_district
ifi,Madhya Pradesh,West Madhya Pradesh,1,not_a_district
ifi,Madras,Suburbans,1,not_a_district
ifi,Maharashtra,Few districts,1,not_a_district
ifi,Maharashtra,Ghat area,1,not_a_district
ifi,Maharashtra,Marathwada,2,not_a_district
ifi,Maharashtra,Parts of Maharashtra,2,not_a_district
ifi,Maharashtra,South Gujarat,1,not_a_district
ifi,Manipur,3 out of 8 districts,1,not_a_district
ifi,Meghalaya,Parts of Meghalaya,4,not_a_district
ifi,Meghalaya,West East Jaintia Hills,5,not_a_district
ifi,Nagaland,Parts of Nagaland,1,not_a_district
ifi,Nagaland,Some parts,1,not_a_district
ifi,Nagaland,various parts of Nagaland,1,not_a_district
ifi,Odisha,11 districts,1,not_a_district
ifi,Odisha,14 districts,1,not_a_district
