year,inr_per_usd
1960,4.7619
1961,4.7619
1962,4.7619
1963,4.7619
1964,4.7619
1965,4.7619
1966,6.35913
1967,7.5
1968,7.5
1969,7.5
1970,7.5
1971,7.49194
1972,7.59447
1973,7.74204
1974,8.1016
1975,8.37589
1976,8.96041
1977,8.73858
1978,8.19284
1979,8.12579
1980,7.86294
1981,8.65852
1982,9.45513
1983,10.0989
1984,11.3626
1985,12.3687
1986,12.6108
1987,12.9615
1988,13.9171
1989,16.2255
1990,17.5035
1991,22.7424
1992,25.9181
1993,30.4933
1994,31.3737
1995,32.4271
1996,35.4332
1997,36.3133
1998,41.2594
1999,43.0554
2000,44.9416
2001,47.1864
2002,48.6103
2003,46.5833
2004,45.3165
2005,44.1
2006,45.307
2007,41.3485
2008,43.5052
2009,48.4053
2010,45.7258
2011,46.6705
2012,53.4372
2013,58.5978
2014,61.0295
2015,64.1519
2016,67.1953
2017,65.1216
2018,68.3895
2019,70.4203
2020,74.0996
2021,73.918
2022,78.6045
2023,82.5993
2024,83.6693
2025,87.1584
