region,sid,name,season,max_wind_kt,min_dist_km,wind_source
Puducherry,1981298N07083,UNNAMED,1981,45.0,34,US agencies (1-min)
Puducherry,1982287N13091,UNNAMED,1982,50.0,11,US agencies (1-min)
Puducherry,1984314N09088,UNNAMED,1984,80.0,81,US agencies (1-min)
Puducherry,1984332N08086,UNNAMED,1984,75.0,23,US agencies (1-min)
Puducherry,1991313N10095,UNNAMED,1991,40.0,23,US agencies (1-min)
Puducherry,1993331N07108,UNNAMED,1993,70.0,16,US agencies (1-min)
Puducherry,1994302N11086,UNNAMED,1994,43.0,93,US agencies (1-min)
Puducherry,1996163N08088,UNNAMED,1996,45.0,49,US agencies (1-min)
Puducherry,1996306N15097,UNNAMED,1996,115.0,13,US agencies (1-min)
Puducherry,1996332N09092,UNNAMED,1996,40.0,39,US agencies (1-min)
Puducherry,1997263N14084,UNNAMED,1997,35.0,89,US agencies (1-min)
Puducherry,2000331N09092,UNNAMED,2000,65.0,24,US agencies (1-min)
Puducherry,2005338N09093,FANOOS,2005,55.0,48,US agencies (1-min)
Puducherry,2008329N09082,NISHA,2008,50.0,28,US agencies (1-min)
Puducherry,2010137N10090,LAILA,2010,35.0,95,US agencies (1-min)
Puducherry,2011360N09088,THANE,2011,75.0,15,US agencies (1-min)
Puducherry,2012301N11087,NILAM,2012,50.0,72,US agencies (1-min)
Puducherry,2013322N13090,HELEN,2013,65.0,51,US agencies (1-min)
Puducherry,2016138N10081,ROANU,2016,50.0,73,US agencies (1-min)
Puducherry,2016335N07088,NADA,2016,35.0,82,US agencies (1-min)
Puducherry,2018314N12093,GAJA,2018,80.0,39,US agencies (1-min)
Puducherry,2018347N07089,PHETHAI,2018,40.0,8,US agencies (1-min)
Puducherry,2020327N08086,NIVAR,2020,65.0,30,US agencies (1-min)
Puducherry,2022338N05100,MANDOUS,2022,40.0,84,US agencies (1-min)
Puducherry,2024329N04089,FENGAL,2024,45.0,2,US agencies (1-min)
Maharashtra,1982309N12066,UNNAMED,1982,50.0,97,US agencies (1-min)
Maharashtra,1985282N12090,UNNAMED,1985,35.0,39,IMD (3-min)
Maharashtra,1990124N09088,UNNAMED,1990,50.0,0,US agencies (1-min)
Maharashtra,1992311N06107,UNNAMED,1992,35.0,98,US agencies (1-min)
Maharashtra,2009313N11072,PHYAN,2009,50.0,0,US agencies (1-min)
Maharashtra,2011160N18070,UNNAMED,2011,35.0,75,US agencies (1-min)
Maharashtra,2014279N11096,HUDHUD,2014,55.0,76,US agencies (1-min)
Maharashtra,2020153N13072,NISARGA,2020,85.0,0,US agencies (1-min)
Maharashtra,2021133N10071,TAUKTAE,2021,108.0,70,US agencies (1-min)
Nagaland,1991150N14091,UNNAMED,1991,35.0,49,US agencies (1-min)
Nagaland,1997133N03092,UNNAMED,1997,65.0,0,US agencies (1-min)
Nagaland,1997263N14084,UNNAMED,1997,35.0,73,US agencies (1-min)
Nagaland,2017147N14087,MORA,2017,35.0,83,US agencies (1-min)
Lakshadweep,1981298N07083,UNNAMED,1981,60.0,55,US agencies (1-min)
Lakshadweep,1998152N11075,UNNAMED,1998,35.0,1,US agencies (1-min)
