region,lat,lon,area_km2,population,eq_events_m6,eq_events_m7,eq_rate_per_year,eq_max_magnitude,eq_max_year,eq_max_place,eq_inside_events,cy_storms_ts,cy_storms_hurricane,cy_rate_ts_per_year,cy_rate_hurricane_per_year,cy_max_wind_kt,cy_max_name,cy_max_season
Andaman and Nicobar Islands,10.706,92.489,7355,380581,78,5,1.0263,7.5,2009.0,"266 km N of Bamboo Flat, India",1,11,3,0.2391,0.0652,95.0,GAY,1989.0
Andhra Pradesh,15.896,79.621,164154,49386799,1,0,0.0132,6.2,1993.0,"20 km SSW of Ausa, India",0,50,14,1.087,0.3043,148.0,FANI,2019.0
Arunachal Pradesh,28.056,95.028,82409,1383727,54,4,0.7105,8.6,1950.0,1950 Assam-Tibet Earthquake,11,1,0,0.0217,0.0,58.0,UNNAMED,1997.0
Assam,26.054,90.76,78819,31205576,49,3,0.6447,8.6,1950.0,1950 Assam-Tibet Earthquake,6,9,3,0.1957,0.0652,110.0,UNNAMED,1991.0
Bihar,25.905,86.124,94596,104099452,11,3,0.1447,7.8,2015.0,"67 km NNE of Bharatpur, Nepal",0,1,0,0.0217,0.0,35.0,AILA,2009.0
Chandigarh,30.731,76.784,115,1055450,6,0,0.0789,6.8,1975.0,"120 km E of Man?li, India",0,0,0,0.0,0.0,,,
Chhattisgarh,20.943,81.507,135876,25545198,0,0,0.0,,,,0,14,3,0.3043,0.0652,93.0,HUDHUD,2014.0
Dadra and Nagar Haveli and Daman and Diu,20.721,70.934,590,586956,1,0,0.0132,6.0,1956.0,"20 km NNE of Anj?r, India",0,7,3,0.1522,0.0652,115.0,TAUKTAE,2021.0
Delhi,28.646,77.124,1491,16787941,4,0,0.0526,6.8,1991.0,"32 km E of Uttark?shi, India",0,0,0,0.0,0.0,,,
Goa,15.352,74.102,3642,1458545,1,0,0.0132,6.54,1967.0,"6 km WSW of Pātan, India",0,2,1,0.0435,0.0217,90.0,TAUKTAE,2021.0
Gujarat,22.416,72.014,186058,60439692,2,1,0.0263,7.7,2001.0,"17 km NW of Bhach?u, India",2,18,6,0.3913,0.1304,115.0,TAUKTAE,2021.0
Haryana,29.292,76.052,44354,25351462,7,0,0.0921,6.8,1975.0,"120 km E of Man?li, India",0,0,0,0.0,0.0,,,
Himachal Pradesh,31.817,77.349,55862,6864602,15,1,0.1974,7.6,2005.0,"21 km NNE of Muzaffar?b?d, Pakistan",2,0,0,0.0,0.0,,,
Jammu and Kashmir,33.694,74.924,54824,12267013,36,2,0.4737,7.6,2005.0,"21 km NNE of Muzaffar?b?d, Pakistan",1,0,0,0.0,0.0,,,
Jharkhand,23.659,85.17,80238,32988134,4,0,0.0526,6.9,1988.0,"9 km WSW of Triyuga, Nepal",0,15,1,0.3261,0.0217,65.0,FANI,2019.0
Karnataka,15.027,75.535,192982,61095297,2,0,0.0263,6.54,1967.0,"6 km WSW of Pātan, India",0,10,0,0.2174,0.0,58.0,VARDAH,2016.0
Kerala,10.542,76.43,39059,33406061,0,0,0.0,,,,0,6,0,0.1304,0.0,63.0,UNNAMED,1992.0
Ladakh,34.709,77.657,167887,274289,122,11,1.6053,7.6,2005.0,"21 km NNE of Muzaffar?b?d, Pakistan",5,0,0,0.0,0.0,,,
Lakshadweep,10.81,73.677,29,64473,0,0,0.0,,,,0,7,1,0.1522,0.0217,83.0,OCKHI,2017.0
Madhya Pradesh,23.969,79.396,309708,72626809,1,0,0.0132,6.7,1956.0,"6 km SE of Jahāngīrpur, India",0,4,0,0.087,0.0,50.0,UNNAMED,1982.0
Maharashtra,18.819,75.371,309196,112374333,2,0,0.0263,6.54,1967.0,"6 km WSW of Pātan, India",2,9,2,0.1957,0.0435,108.0,TAUKTAE,2021.0
Manipur,24.762,93.865,22420,2855794,40,4,0.5263,7.7,2025.0,"2025 Mandalay, Burma (Myanmar) Earthquake",4,9,3,0.1957,0.0652,110.0,UNNAMED,1991.0
Meghalaya,25.574,91.265,22510,2966889,24,2,0.3158,7.3,1988.0,"85 km SE of Phek, India",0,4,0,0.087,0.0,50.0,UNNAMED,1997.0
Mizoram,23.229,92.866,21193,1097206,31,4,0.4079,7.7,2025.0,"2025 Mandalay, Burma (Myanmar) Earthquake",1,18,8,0.3913,0.1739,123.0,UNNAMED,1991.0
Nagaland,26.116,94.555,16644,1978502,45,4,0.5921,8.6,1950.0,1950 Assam-Tibet Earthquake,0,4,1,0.087,0.0217,65.0,UNNAMED,1997.0
Odisha,20.191,84.48,156428,41974218,1,0,0.0132,6.0,2014.0,"276 km SE of Kon?rka, India",0,40,13,0.8696,0.2826,145.0,FANI,2019.0
Puducherry,10.915,79.807,504,1247953,0,0,0.0,,,,0,25,9,0.5435,0.1957,115.0,UNNAMED,1996.0
Punjab,31.027,75.584,50519,27743338,8,1,0.1053,7.6,2005.0,"21 km NNE of Muzaffar?b?d, Pakistan",0,0,0,0.0,0.0,,,
Rajasthan,26.637,73.821,343661,68548437,9,1,0.1184,7.7,2001.0,"17 km NW of Bhach?u, India",0,4,0,0.087,0.0,60.0,UNNAMED,1999.0
Sikkim,27.606,88.458,7133,610577,14,2,0.1842,7.3,2015.0,Nepal,2,0,0,0.0,0.0,,,
Tamil Nadu,10.822,78.35,131052,72147030,0,0,0.0,,,,0,31,10,0.6739,0.2174,85.0,UNNAMED,1984.0
Telangana,17.876,79.298,112713,35193978,1,0,0.0132,6.2,1993.0,"20 km SSW of Ausa, India",0,12,3,0.2609,0.0652,115.0,UNNAMED,1996.0
Tripura,23.733,91.557,10450,3673917,17,0,0.2237,6.9,2016.0,"76 km SE of Mawlaik, Myanmar",0,18,4,0.3913,0.087,123.0,UNNAMED,1991.0
Uttar Pradesh,27.138,80.779,242084,199812341,19,2,0.25,7.8,2015.0,"67 km NNE of Bharatpur, Nepal",1,0,0,0.0,0.0,,,
Uttarakhand,30.089,79.318,53597,10086292,20,0,0.2632,6.8,1975.0,"120 km E of Man?li, India",3,0,0,0.0,0.0,,,
West Bengal,24.389,88.1,85608,91276115,13,2,0.1711,7.3,2015.0,Nepal,0,31,7,0.6739,0.1522,130.0,SIDR,2007.0
